gameId,date,time,team1,team2,group
GA1,14/06/2018,16:00,A1,A2,A
GA2,15/06/2018,13:00,A3,A4,A
GA3,19/06/2018,19:00,A1,A3,A
GA4,20/06/2018,16:00,A4,A2,A
GA5,25/06/2018,15:00,A4,A1,A
GA6,25/06/2018,15:00,A2,A3,A
GB1,15/06/2018,16:00,B3,B4,B
GB2,15/06/2018,19:00,B1,B2,B
GB3,20/06/2018,13:00,B1,B3,B
GB4,20/06/2018,19:00,B4,B2,B
GB5,25/06/2018,19:00,B2,B3,B
GB6,25/06/2018,19:00,B4,B1,B
GC1,16/06/2018,11:00,C1,C2,C
GC2,16/06/2018,17:00,C3,C4,C
GC3,21/06/2018,13:00,C1,C3,C
GC4,21/06/2018,16:00,C4,C2,C
GC5,26/06/2018,15:00,C4,C1,C
GC6,26/06/2018,15:00,C2,C3,C
GD1,16/06/2018,14:00,D1,D2,D
GD2,16/06/2018,20:00,D3,D4,D
GD3,21/06/2018,19:00,D1,D3,D
GD4,22/06/2018,16:00,D4,D2,D
GD5,26/06/2018,19:00,D2,D3,D
GD6,26/06/2018,19:00,D4,D1,D
GE1,17/06/2018,13:00,E3,E4,E
GE2,17/06/2018,19:00,E1,E2,E
GE3,22/06/2018,13:00,E1,E3,E
GE4,22/06/2018,19:00,E4,E2,E
GE5,27/06/2018,19:00,E4,E1,E
GE6,27/06/2018,19:00,E2,E3,E
GF1,17/06/2018,16:00,F1,F2,F
GF2,18/06/2018,13:00,F3,F4,F
GF3,23/06/2018,16:00,F1,F3,F
GF4,23/06/2018,19:00,F4,F2,F
GF5,27/06/2018,15:00,F2,F3,F
GF6,27/06/2018,15:00,F4,F1,F
GG1,18/06/2018,16:00,G1,G2,G
GG2,18/06/2018,19:00,G3,G4,G
GG3,23/06/2018,13:00,G1,G3,G
GG4,24/06/2018,13:00,G4,G2,G
GG5,28/06/2018,19:00,G4,G1,G
GG6,28/06/2018,19:00,G2,G3,G
GH1,19/06/2018,13:00,H1,H2,H
GH2,19/06/2018,16:00,H3,H4,H
GH3,24/06/2018,16:00,H4,H2,H
GH4,24/06/2018,19:00,H1,H3,H
GH5,28/06/2018,15:00,H2,H3,H
GH6,28/06/2018,15:00,H4,H1,H
GAF1,30/06/2018,15:00,1C,2D,
GAF2,30/06/2018,19:00,1A,2B,
GAF3,01/07/2018,15:00,1B,2A,
GAF4,01/07/2018,19:00,1D,2C,
GAF5,02/07/2018,15:00,1E,2F,
GAF6,02/07/2018,19:00,1G,2H,
GAF7,03/07/2018,15:00,1F,2E,
GAF8,03/07/2018,19:00,1H,2G,
GQF1,06/07/2018,15:00,WGAF1,WGAF2,
GQF2,06/07/2018,19:00,WGAF6,WGAF5,
GQF3,07/07/2018,15:00,WGAF8,WGAF7,
GQF4,07/07/2018,19:00,WGAF3,WGAF4,
GSF1,10/07/2018,19:00,WGQF2,WGQF1,
GSF2,11/07/2018,19:00,WGQF4,WGQF3,
GFN1,14/07/2018,15:00,LGSF1,LGSF2,
GFN2,15/07/2018,16:00,WGSF1,WGSF2,
