team1,team2,outcome,sd
KSA,RUS,-0.939833333333333,1.820216168915368
EGY,RUS,-0.33916666666666656,1.962172575145093
POR,RUS,0.3300666666666668,1.668364331105419
ESP,RUS,-0.08003333333333336,2.083720792026295
MAR,RUS,-0.9744999999999998,1.8166240043895783
IRN,RUS,-0.36213333333333336,1.9687057079026966
FRA,RUS,0.283,1.5753401586492768
AUS,RUS,-0.6639333333333335,1.8475504723058738
PER,RUS,-1.0102333333333335,1.3597492839193288
DEN,RUS,2.3333333333332894e-4,1.5242168399086902
ARG,RUS,0.09090000000000002,1.932708123115358
ISL,RUS,-1.0451000000000004,1.3683986658522806
CRO,RUS,-0.0811666666666667,1.4660358283062296
NGA,RUS,-0.06086666666666668,1.776553398377856
BRA,RUS,0.1638999999999999,1.704604819195256
CRC,RUS,-0.3464999999999999,1.8561240465782198
GER,RUS,0.35903333333333326,2.5321348330043403
MEX,RUS,-0.11236666666666666,1.8876114824459425
KOR,RUS,-0.8360333333333334,1.9675099634991668
BEL,RUS,-0.5776666666666667,2.0728026704706624
PAN,RUS,-1.2748333333333333,1.8385891974938144
ENG,RUS,0.5294666666666665,1.7495517586071652
POL,RUS,-0.23619999999999997,1.530505729787104
COL,RUS,-0.4993666666666668,1.6843461568735125
JPN,RUS,-0.5801666666666666,1.8628071905153925
EGY,KSA,0.7379000000000003,1.7411572340527017
ESP,KSA,1.3865666666666665,2.016966580601527
IRN,KSA,0.7008999999999995,1.7271196533002149
FRA,KSA,1.3324000000000011,1.4325696711981533
AUS,KSA,1.016066666666667,1.8097870557785012
DEN,KSA,1.0550666666666664,1.66798608295262
ARG,KSA,1.8171000000000004,1.9297216890396023
ISL,KSA,-0.002333333333333324,1.6574058342209763
CRO,KSA,1.0379333333333334,1.589544284048353
BRA,KSA,1.5196999999999998,1.8107829189494578
CRC,KSA,0.9319333333333337,1.6672134159975736
GER,KSA,1.9007,2.2773215767199537
KOR,KSA,0.7381666666666667,1.6266715791481612
BEL,KSA,1.0373999999999999,2.065268267597554
ENG,KSA,1.5955666666666661,1.8404863829453262
COL,KSA,0.8695666666666668,1.655030499119924
JPN,KSA,0.8737999999999999,1.5603388475208229
AUS,EGY,0.2362333333333333,1.5905784491621946
DEN,EGY,0.9734666666666667,1.6042304432576369
ARG,EGY,0.9437666666666671,1.9872560834628985
CRO,EGY,0.7266666666666667,1.6656028669118501
BRA,EGY,1.0910333333333333,1.80158152490267
CRC,EGY,0.25353333333333344,1.7185435919662644
BEL,EGY,0.6583666666666664,1.9103870289903044
COL,EGY,0.6418666666666668,1.8084629547601194
RUS,URU,0.7373333333333335,1.7319780426798415
KSA,URU,-0.3479999999999999,1.7808527875936118
EGY,URU,-0.7441666666666666,2.0943551798730664
POR,URU,0.8460333333333337,1.534166418206663
ESP,URU,0.7383333333333336,1.8734222932495375
MAR,URU,-0.46519999999999984,1.8615081839118717
IRN,URU,-0.21896666666666667,1.9807194507093047
FRA,URU,0.4031666666666665,1.4052152103334503
AUS,URU,-0.2892333333333334,2.066388449338175
PER,URU,-0.005733333333333352,1.6952414887526066
DEN,URU,0.28343333333333337,1.4792058608748757
ARG,URU,0.846,1.9638790633040266
ISL,URU,-0.05146666666666669,1.716461572406439
CRO,URU,0.20240000000000002,1.4348781564931903
NGA,URU,0.30713333333333326,1.6159622538256753
BRA,URU,0.8802333333333334,1.703545182566273
SUI,URU,0.29963333333333336,1.7191439082025028
CRC,URU,-0.20909999999999992,2.0796291641724274
SRB,URU,0.06523333333333332,1.704623773079805
GER,URU,1.4405666666666663,2.1643308438311073
SWE,URU,0.021666666666666643,1.8272707495990395
MEX,URU,0.16569999999999993,1.9244450683184708
KOR,URU,-0.6060666666666666,2.0162316937067617
BEL,URU,0.25773333333333337,1.9386418998729489
PAN,URU,-0.7648666666666665,1.8406053274666334
TUN,URU,-0.257,1.9278248004855574
ENG,URU,1.0351333333333335,1.860556096134329
POL,URU,-0.12413333333333335,1.6475438775107973
SEN,URU,-0.3420999999999999,1.9324054884893822
COL,URU,0.08110000000000002,1.8079720943548077
JPN,URU,-0.3362333333333332,1.7808939018123338
KSA,POR,-1.4231333333333331,1.8478123108768412
EGY,POR,-0.9742333333333334,1.7504718233435665
ESP,POR,0.36733333333333323,1.563417301435534
MAR,POR,-1.190766666666667,1.7704182356822498
IRN,POR,-0.9198999999999996,1.7595804781653221
FRA,POR,-0.19206666666666664,1.4393081866341983
AUS,POR,-1.4721333333333335,1.875795416231145
PER,POR,-1.059333333333333,1.5798774294389955
DEN,POR,-0.2694000000000001,1.5417337908079312
ARG,POR,-0.3906666666666667,1.8988698017924848
ISL,POR,-0.9093666666666668,1.726724380552673
CRO,POR,-0.5082666666666669,1.6148179266079539
NGA,POR,-0.6517000000000002,1.705126688562494
BRA,POR,0.2523666666666665,1.5365782294795867
CRC,POR,-0.9753333333333334,1.7384086325118233
GER,POR,1.586999999999999,2.3663690809924764
MEX,POR,-0.5294333333333332,1.7795683513240137
KOR,POR,-1.4824666666666668,1.8993527838584008
BEL,POR,-0.23783333333333337,1.7127188930053172
PAN,POR,-1.4199999999999997,1.8142785195295088
ENG,POR,0.5167666666666664,1.584230660539623
POL,POR,-0.34750000000000025,1.61674151394479
COL,POR,-0.3527999999999998,1.706536787392689
JPN,POR,-0.9450999999999996,1.700745737058967
EGY,ESP,-1.2365666666666661,1.9131510818285056
AUS,ESP,-1.8386333333333331,2.053319327731169
DEN,ESP,-0.5016333333333332,1.5321057860384701
ARG,ESP,-0.5076333333333332,2.008277531883458
CRO,ESP,-0.6171999999999997,1.568255474304999
BRA,ESP,0.22740000000000002,1.8325960489916433
CRC,ESP,-1.2771999999999994,1.6937127978612057
BEL,ESP,-0.26250000000000007,1.8923235200109285
ENG,ESP,0.5554333333333334,1.8278197687081807
COL,ESP,-0.7072666666666664,1.8877222510902363
KSA,MAR,0.13236666666666672,1.6356256523947543
EGY,MAR,0.44396666666666684,1.7872833594445028
ESP,MAR,1.368566666666667,2.108282077630966
IRN,MAR,0.5608333333333333,1.9081902470473804
FRA,MAR,1.1392,1.6234713187148777
AUS,MAR,0.8207999999999998,1.9079095126677699
DEN,MAR,1.0789666666666662,2.0324673021838926
ARG,MAR,1.7177333333333333,2.0845988076419135
ISL,MAR,-0.15833333333333338,1.8789442297184715
CRO,MAR,0.9527333333333333,1.8025416492383532
BRA,MAR,1.4891666666666659,2.0181592865862426
CRC,MAR,0.7916666666666667,1.8276192302468812
GER,MAR,1.9792999999999994,2.380505574504534
KOR,MAR,0.7297666666666667,1.6945861411965537
BEL,MAR,1.1907000000000003,2.1682070622615344
ENG,MAR,1.4666666666666661,2.0090731624723266
COL,MAR,0.8062333333333335,2.0024154671756174
JPN,MAR,0.6747666666666668,1.6778812581910356
EGY,IRN,-0.20383333333333328,1.765039480471793
ESP,IRN,0.5805000000000002,1.6381376845309108
FRA,IRN,0.6736,1.4822754989011384
AUS,IRN,-0.05876666666666667,1.6281495627441587
DEN,IRN,0.862633333333333,1.464254126115836
ARG,IRN,0.8504666666666668,1.8336745307085276
CRO,IRN,0.6008000000000002,1.5349503628273453
BRA,IRN,0.7552333333333335,1.638216036563492
CRC,IRN,0.1675666666666667,1.5532974568034152
GER,IRN,2.094933333333333,2.6631184426681735
BEL,IRN,0.42020000000000013,1.6936019082819793
ENG,IRN,1.0586333333333326,1.439334510536727
COL,IRN,0.6030000000000001,1.6421333629584598
EGY,FRA,-0.9598666666666665,1.736504531900783
ESP,FRA,0.11826666666666663,1.5418787234323341
AUS,FRA,-1.696599999999999,1.8304551999830414
DEN,FRA,-0.42939999999999984,1.335539705866218
ARG,FRA,-0.38916666666666666,1.7605795218415095
CRO,FRA,-0.5094333333333333,1.3623738774030891
BRA,FRA,0.19013333333333327,1.6102486368433986
CRC,FRA,-1.3679999999999994,1.6531763317831332
BEL,FRA,-0.2238666666666667,1.723020662921415
ENG,FRA,0.5038,1.508125769145269
COL,FRA,-0.3969666666666666,1.6171007133794117
ARG,AUS,0.7175000000000004,1.71985823615865
KSA,PER,-0.11456666666666664,1.7751195327012268
EGY,PER,0.03206666666666666,2.086393492248738
ESP,PER,0.7944000000000001,1.94343002402823
MAR,PER,-0.17376666666666657,1.7885818018603774
IRN,PER,0.23813333333333334,1.8495744044568498
FRA,PER,0.38546666666666657,1.5127914861624705
AUS,PER,0.36100000000000004,1.9296056535413084
DEN,PER,0.5020666666666667,1.4947537425392194
ARG,PER,0.8207666666666665,1.826907842069687
ISL,PER,0.05420000000000002,1.5284695754022404
CRO,PER,0.3023000000000002,1.457072883671994
NGA,PER,0.5173666666666665,1.622336317451011
BRA,PER,0.7088000000000001,1.7988300906270849
CRC,PER,0.46693333333333314,1.9424714176003122
GER,PER,1.2238333333333338,2.066575157702117
MEX,PER,0.7282666666666666,1.8172436913391303
KOR,PER,0.21963333333333335,2.0493012150068486
BEL,PER,0.4328333333333333,1.9931650283725433
PAN,PER,-0.7841666666666666,1.9352565915244848
ENG,PER,0.8593333333333332,1.8169191725136769
COL,PER,0.09193333333333333,1.5404988665884716
JPN,PER,0.17649999999999988,1.80061268766797
AUS,DEN,-0.9342000000000005,2.053639779464429
ARG,DEN,-0.024066666666666688,1.9760595967040364
CRO,DEN,-0.3279,1.4213594446505606
BRA,DEN,0.49679999999999996,1.837183297103622
CRC,DEN,-0.8309666666666671,1.8241924482902072
BEL,DEN,-0.23550000000000018,1.931317412056975
COL,DEN,-0.32873333333333327,1.7558921883123049
EGY,ISL,0.5585333333333332,2.230534558737958
ESP,ISL,0.8952000000000004,2.005298388139074
IRN,ISL,0.8116333333333333,2.0353245118170893
FRA,ISL,0.7761666666666668,1.639066144379568
AUS,ISL,0.9421999999999998,2.130095040338073
DEN,ISL,0.5446,1.6900203350911487
ARG,ISL,1.1134666666666664,2.039501301245535
CRO,ISL,0.4371000000000001,1.6917753718886468
BRA,ISL,1.1908666666666667,1.9397656695633998
CRC,ISL,0.6826999999999998,2.156285995184893
GER,ISL,1.440133333333334,2.2185648609645914
BEL,ISL,0.8790333333333331,2.1588097765957226
ENG,ISL,1.0910333333333335,1.9323420566426541
COL,ISL,0.23460000000000003,1.821828710001591
AUS,CRO,-0.9084666666666663,1.895402353693536
ARG,CRO,0.14286666666666667,2.002597457147334
BRA,CRO,0.7145999999999999,1.842554134990239
CRC,CRO,-0.8339999999999999,1.8060404227096822
BEL,CRO,-0.07093333333333335,1.9655286428061491
COL,CRO,-0.18283333333333343,1.8312693412920635
KSA,NGA,-0.8551333333333336,1.6558353068312441
EGY,NGA,-0.6638333333333333,1.7372531839164473
ESP,NGA,0.30573333333333336,1.5337077379728192
MAR,NGA,-0.8674666666666669,1.6366343695752283
IRN,NGA,-0.4090333333333334,1.5384028836492722
FRA,NGA,0.3433333333333333,1.3560867508699816
AUS,NGA,-0.7000333333333334,1.62788120437033
DEN,NGA,0.18536666666666674,1.5032810471439775
ARG,NGA,0.1698333333333333,1.7241230154972578
ISL,NGA,-0.3507333333333333,1.470134478994426
CRO,NGA,-0.07833333333333331,1.304113057283301
BRA,NGA,0.18616666666666662,1.4870454010271843
CRC,NGA,-0.5207666666666666,1.7080230899351165
GER,NGA,1.6253333333333335,2.4968217160638564
MEX,NGA,-0.159,1.7032475496950512
KOR,NGA,-0.690766666666667,1.6725722929185953
BEL,NGA,-0.015199999999999981,1.6773283116236943
ENG,NGA,0.4046333333333334,1.4503610907204594
COL,NGA,0.05240000000000001,1.5103516543491273
JPN,NGA,-0.4396333333333335,1.4830557030795821
AUS,BRA,-1.7612999999999994,1.9249245818884915
ARG,BRA,-0.4193666666666668,2.0027213558034767
BEL,BRA,-0.4165666666666667,1.799733549578029
RUS,SUI,0.008300000000000002,1.6299494273833193
KSA,SUI,-1.4834666666666672,1.824930943993535
EGY,SUI,-1.1524333333333334,1.8923327264003873
POR,SUI,0.16210000000000005,1.475687601694746
ESP,SUI,0.14336666666666667,1.5897379165405137
MAR,SUI,-1.1914,1.6388579953234048
IRN,SUI,-1.2552999999999994,1.9076351118877217
FRA,SUI,-0.14460000000000003,1.2226649369246092
AUS,SUI,-1.6849333333333334,1.9609090839551289
PER,SUI,-1.1331000000000002,1.5340097005961357
DEN,SUI,-0.4704333333333332,1.398722948341407
ARG,SUI,-0.3827,1.9057695040541875
ISL,SUI,-0.9208333333333335,1.4496860719452893
CRO,SUI,-0.5458666666666666,1.5019332246364945
NGA,SUI,-0.7648333333333337,1.6700171649804456
BRA,SUI,0.18693333333333334,1.6127982407044372
CRC,SUI,-1.2308,1.7710383213509553
SRB,SUI,-0.5444999999999999,1.4954481797422359
GER,SUI,0.8414333333333334,2.374406241568616
MEX,SUI,-0.6776666666666669,1.7322221336693748
KOR,SUI,-1.7407000000000006,2.042183085752521
BEL,SUI,-0.29103333333333337,1.7913459233494988
PAN,SUI,-1.5099333333333333,1.8110521908143578
ENG,SUI,0.5035333333333333,1.6447560320028072
POL,SUI,-0.6756666666666669,1.4492264461989723
SEN,SUI,-1.0268000000000004,1.6446192312942827
COL,SUI,-0.4065666666666664,1.7476881988223265
JPN,SUI,-1.3955333333333337,1.912232256338686
AUS,CRC,-0.19079999999999994,1.6783195914604399
ARG,CRC,0.8083000000000002,1.8452507838652055
BRA,CRC,0.6865666666666668,1.7480033114124738
BEL,CRC,0.4530666666666668,1.829459846814534
COL,CRC,0.27853333333333335,1.69560983158198
RUS,SRB,0.68553333333333355,1.9059703113841984
KSA,SRB,-0.5323666666666663,1.8652823318377418
